n : -4.499617414502968;-1.230878592444368
n : 3.713606287455761;3.117827677535688
n : 2.980784416072588;-4.843377373037186
n : -0.8956366686034194;-1.2133583327933914
n : -3.814626382118923;-0.23811346005141587
n : -4.784316619355327;-2.882450824199071
n : 3.622740194690735;4.372055467969384
n : -4.44815260429282;-2.598287040267253
n : -1.4540660865987451;0.8251549653197285
n : -2.0539281231516595;2.4466263263086425
n : 3.6618132097732055;-4.196124310536079
n : -2.328243918573553;-2.801722470982393
n : 4.963040972652411;0.6301519123189294
n : 0.20632776762572647;-0.6513042648821603
n : -3.3455676090489925;0.9441406303771629
n : -1.554761993748368;0.6426283334910865
n : -3.44694132944273;4.480554049366836
n : 4.809514270669059;3.973573889701278
n : 1.3467722086555156;-3.6687942310543473
n : -2.2325978932617705;4.3504120657650205
n : -1.1622905589058572;-0.6035865080309506
n : 2.4933886799023677;-2.944041517976772
n : -4.576301588731983;0.5319740447656649
n : -2.139020817526921;-4.208253660700891
n : 3.7509352288405378;4.609898500122631
n : -4.176667322147182;-1.5212140803738192
n : -0.524126531732958;2.419638689614181
n : -2.6531783584856408;-0.4833269870869952
n : 0.7844718116206923;3.495445266635402
n : -0.26593153878568554;1.2326554753066352
n : -2.918714551229118;-1.25638652141303
n : 2.5068160615290687;1.9431768738356805
n : 2.1879534013583353;-1.878567534221307
n : -3.161818919901113;0.7914274933991949
n : -3.700743479647083;4.931245295010886
n : -1.8822045580012805;-4.207350627050857
n : -3.3697326257522286;-0.7789340247468104
n : -3.336724082120167;0.32554075137853467
n : 0.21855280866983584;2.1355442332200933
n : -2.3516564157250075;2.86249219700216
n : 2.989043308182797;-2.5173794280352455
n : -3.537481212523792;1.7723661947545164
n : 2.836853171272975;-2.240692895191062
n : 2.5001795228545145;4.550786866840461
n : -2.5516525754105244;-3.5077986412293782
n : 0.48481504714467416;3.015938108228191
n : -2.8653969879548913;-2.5012896097120207
n : -3.8829969892837743;3.86625523878741
n : 1.4793074300290474;-3.2774397988733117
n : -1.4163633638019357;-4.08694449605621
n : 2.3421554605899155;-4.40192278515414
n : -0.6729095200312427;-3.2169966189248544
n : -1.9250091757144592;1.4500283287577975
n : 4.676498778916773;2.0729197344398056
n : 0.6085177892184817;-2.800811198052018
n : -1.9626953687698934;-3.444342229439341
n : 1.4067253094238188;-0.45614886311433445
n : -4.477789400421943;0.31781996067811047
n : 1.747025520894577;1.5890435328606163
n : -3.797351721241111;-2.6223292108251783
n : 0.9618511367633111;-2.6941936163451476
n : -1.4456551244661178;3.7442624730291136
n : 4.242718319782593;-1.6864469663543336
n : 2.604826859373482;1.5677304794281968
n : -0.9545592898611837;4.1319729993534615
n : -4.300319119037087;2.7828746618068294
n : 1.441258174365947;3.8158853141306395
n : 4.2530540664674295;1.7883612855719502
n : -0.001759320582277013;-4.851548526017012
n : -3.060612554730946;-2.0092556120183334
n : 4.3228807122203445;-4.775677007045914
n : 4.3400865012874235;0.7770472690160801
n : 1.562363042517938;0.4176301345195643
n : 0.9320333395512828;-1.352076253360468
n : 2.0998606824826016;-3.6164285545419474
n : -0.18205978257515465;0.9124243400364742
n : -2.8897311544133197;3.3721048331240357
n : -3.724989905304038;-1.1116020259717594
n : -0.9571891839438056;-0.5531206636791008
n : 3.0326128374265853;-4.701080855037452
n : -2.724393203387281;4.846617161245645
