#n 0: 0.2;0.1
#n 1: 0.8;0.9
#n 10: 0.7;0.5
#n 11: 0.2;0.4
#n 100: 0.6; 0.4

#c 0 <==> 1
#c 0 ==> 1
#c 0 <==> 1[01]
#c 1[01] ==> 1
#c 100 =0.1= 0
#c 100 =0.3= 1

n 00: 0.1; 0.1
n 01: 0.2; 0.1
n 02: 0.3; 0.1
n 03: 0.4; 0.1
n 04: 0.5; 0.1
n 05: 0.6; 0.1
n 06: 0.7; 0.1
n 07: 0.8; 0.1
n 08: 0.9; 0.1
n 10: 0.1; 0.2
n 11: 0.2; 0.2
n 12: 0.3; 0.2
n 13: 0.4; 0.2
n 14: 0.5; 0.2
n 15: 0.6; 0.2
n 16: 0.7; 0.2
n 17: 0.8; 0.2
n 18: 0.9; 0.2
n 20: 0.1; 0.3
n 21: 0.2; 0.3
n 22: 0.3; 0.3
n 23: 0.4; 0.3
n 24: 0.5; 0.3
n 25: 0.6; 0.3
n 26: 0.7; 0.3
n 27: 0.8; 0.3
n 28: 0.9; 0.3
n 30: 0.1; 0.4
n 31: 0.2; 0.4
n 32: 0.3; 0.4
n 33: 0.4; 0.4
n 34: 0.5; 0.4
n 35: 0.6; 0.4
n 36: 0.7; 0.4
n 37: 0.8; 0.4
n 38: 0.9; 0.4
n 40: 0.1; 0.5
n 41: 0.2; 0.5
n 42: 0.3; 0.5
n 43: 0.4; 0.5
n 44: 0.5; 0.5
n 45: 0.6; 0.5
n 46: 0.7; 0.5
n 47: 0.8; 0.5
n 48: 0.9; 0.5
n 50: 0.1; 0.6
n 51: 0.2; 0.6
n 52: 0.3; 0.6
n 53: 0.4; 0.6
n 54: 0.5; 0.6
n 55: 0.6; 0.6
n 56: 0.7; 0.6
n 57: 0.8; 0.6
n 58: 0.9; 0.6
n 60: 0.1; 0.7
n 61: 0.2; 0.7
n 62: 0.3; 0.7
n 63: 0.4; 0.7
n 64: 0.5; 0.7
n 65: 0.6; 0.7
n 66: 0.7; 0.7
n 67: 0.8; 0.7
n 68: 0.9; 0.7
n 70: 0.1; 0.8
n 71: 0.2; 0.8
n 72: 0.3; 0.8
n 73: 0.4; 0.8
n 74: 0.5; 0.8
n 75: 0.6; 0.8
n 76: 0.7; 0.8
n 77: 0.8; 0.8
n 78: 0.9; 0.8
n 80: 0.1; 0.9
n 81: 0.2; 0.9
n 82: 0.3; 0.9
n 83: 0.4; 0.9
n 84: 0.5; 0.9
n 85: 0.6; 0.9
n 86: 0.7; 0.9
n 87: 0.8; 0.9
n 88: 0.9; 0.9

c 00 == 10|01
c 01 == 11|02
c 02 == 12|03
c 03 == 13|04
c 04 == 14|05
c 05 == 15|06
c 06 == 16|07
c 07 == 17|08
c 08 == 18
c 10 == 20|11
c 11 == 21|12
c 12 == 22|13
c 13 == 23|14
c 14 == 24|15
c 15 == 25|16
c 16 == 26|17
c 17 == 27|18
c 18 == 28
c 20 == 30|21
c 21 == 31|22
c 22 == 32|23
c 23 == 33|24
c 24 == 34|25
c 25 == 35|26
c 26 == 36|27
c 27 == 37|28
#c 28 == 38
#c 30 == 40|31
#c 31 == 41|32
#c 32 == 42|33
#c 33 == 43|34
c 34 == 44|35
c 35 == 45|36
c 36 == 46|37
c 37 == 47|38
c 38 == 48
c 40 == 50|41
c 41 == 51|42
c 42 == 52|43
c 43 == 53|44
c 44 == 54|45
c 45 == 55|46
c 46 == 56|47
c 47 == 57|48
c 48 == 58
c 50 == 60|51
c 51 == 61|52
c 52 == 62|53
c 53 == 63|54
c 54 == 64|55
c 55 == 65|56
c 56 == 66|57
c 57 == 67|58
c 58 == 68
c 60 == 70|61
c 61 == 71|62
c 62 == 72|63
c 63 == 73|64
#c 64 == 74|65
#c 65 == 75|66
#c 66 == 76|67
c 67 == 77|68
c 68 == 78
c 70 == 80|71
c 71 == 81|72
c 72 == 82|73
c 73 == 83|74
c 74 == 84|75
c 75 == 85|76
c 76 == 86|77
#c 77 == 87|78
#c 78 == 88
#c 80 == 81
c 81 == 82
c 82 == 83
c 83 == 84
c 84 == 85
c 85 == 86
c 86 == 87
c 87 == 88

n : -0.1;-0.1
n : -0.2;-0.2

c! :-0.1;-0.1 == :-0.2;-0.2

n start: 0.0; 0.0
n end: 1.0; 1.0

c start =0=> 00
c end <=0= 88

